model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
gru,256,1,"[1024, 512, 128]",0.1,0.0001,0.5087,5.1627,1.6189
gru,256,1,"[1024, 512, 128]",0.2,0.001,0.6256,5.3519,1.7641
gru,256,1,"[1024, 512, 128]",0.2,0.0001,0.5578,5.3022,1.6469
gru,256,1,"[256, 64]",0.1,0.001,0.7298,5.241,1.5924
gru,256,1,"[256, 64]",0.1,0.0001,0.5575,4.9064,1.6447
gru,256,1,"[256, 64]",0.2,0.001,0.7665,5.3264,1.6715
gru,256,1,"[256, 64]",0.2,0.0001,0.7093,5.3987,1.7245
gru,256,2,"[512, 128]",0.1,0.001,0.5512,5.6553,1.6265
gru,256,2,"[512, 128]",0.1,0.0001,0.5473,5.1229,1.6178
gru,256,2,"[512, 128]",0.2,0.001,0.73,5.694,1.7294
gru,256,2,"[512, 128]",0.2,0.0001,0.556,5.027,1.6378
gru,256,2,"[1024, 512, 128]",0.1,0.001,0.5971,5.51,1.6174
gru,256,2,"[1024, 512, 128]",0.1,0.0001,0.5449,4.7828,1.7365
gru,256,2,"[1024, 512, 128]",0.2,0.001,0.8809,5.5699,1.7062
gru,256,2,"[1024, 512, 128]",0.2,0.0001,0.5862,4.8771,1.6448
gru,256,2,"[256, 64]",0.1,0.001,0.5373,5.656,1.6774
gru,256,2,"[256, 64]",0.1,0.0001,0.543,4.9373,1.6781
gru,256,2,"[256, 64]",0.2,0.001,0.6854,5.5733,1.6245
gru,256,2,"[256, 64]",0.2,0.0001,0.8155,4.9101,1.6583
